date,likes,hour,day_of_week,day_category,hours_since_last_post
2007-08-15 01:03:00,6,1,2,3,3.75
2007-08-15 16:55:00,7,16,2,1,15.866666666666667
2007-08-16 02:16:00,7,2,3,3,9.35
2007-08-16 03:15:00,7,3,3,3,0.9833333333333333
2007-08-16 03:26:00,7,3,3,3,0.18333333333333332
2007-08-16 13:50:00,10,13,3,1,10.4
2007-08-16 14:48:00,10,14,3,1,0.9666666666666667
2007-08-17 00:46:00,11,0,4,3,9.966666666666667
2007-08-17 01:09:00,10,1,4,3,0.38333333333333336
2007-08-17 03:48:00,10,3,4,3,2.65
2007-08-17 14:31:00,6,14,4,1,10.716666666666667
2007-08-17 16:01:00,6,16,4,1,1.5
2007-08-17 16:07:00,9,16,4,1,0.1
2007-08-17 16:48:00,21,16,4,1,0.6833333333333333
2007-08-18 02:00:00,11,2,5,3,9.2
2007-08-18 23:52:00,8,23,5,2,21.866666666666667
2007-08-18 23:53:00,8,23,5,2,0.016666666666666666
2007-08-19 00:52:00,8,0,6,3,0.9833333333333333
2007-08-20 00:37:00,8,0,0,3,23.75
2007-08-20 14:05:00,10,14,0,1,13.466666666666667
2007-08-20 14:06:00,15,14,0,1,0.016666666666666666
2007-08-21 00:46:00,13,0,1,3,10.666666666666666
2007-08-22 14:57:00,9,14,2,1,38.18333333333333
2007-08-22 17:04:00,8,17,2,1,2.1166666666666667
2007-08-23 16:50:00,16,16,3,1,23.766666666666666
2007-08-24 14:08:00,12,14,4,1,21.3
2007-08-28 02:00:00,16,2,1,3,83.86666666666666
2007-08-28 03:22:00,18,3,1,3,1.3666666666666667
2007-08-28 03:28:00,9,3,1,3,0.1
2007-08-28 03:40:00,9,3,1,3,0.2
2007-08-29 00:52:00,8,0,2,3,21.2
2007-08-29 13:04:00,8,13,2,1,12.2
2007-08-29 13:05:00,6,13,2,1,0.016666666666666666
2007-08-29 13:06:00,7,13,2,1,0.016666666666666666
2007-08-29 13:10:00,6,13,2,1,0.06666666666666667
2007-08-29 13:37:00,7,13,2,1,0.45
2007-08-29 13:38:00,7,13,2,1,0.016666666666666666
2007-08-29 23:04:00,9,23,2,2,9.433333333333334
2007-08-29 23:46:00,14,23,2,2,0.7
2007-08-30 00:42:00,8,0,3,3,0.9333333333333333
2007-08-30 01:03:00,5,1,3,3,0.35
2007-08-30 01:54:00,8,1,3,3,0.85
2007-08-30 12:37:00,8,12,3,1,10.716666666666667
2007-08-30 15:46:00,6,15,3,1,3.15
2007-08-30 16:03:00,7,16,3,1,0.2833333333333333
2007-08-30 16:14:00,6,16,3,1,0.18333333333333332
